X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3118900.750722125172615,1440416.270392835140228,229,Cinemark Movie Bistro Foothills Mall,335 East Foothills Parkway,Beer and Wine,91750
3128805.099691346287727,1434024.920306891202927,230,Chipotle Mexican Grill,"2120 East Harmony Road, Suite 107",Hotel-Restaurant,91813
3106432.856374502182007,1452122.742707744240761,231,King Soopers Div No 9,1015 South Taft Hill Road,Fermented Malt Beverage (off-premises),91814
3117615.239840924739838,1453644.139941155910492,232,rBar,105 & 107 Esat Laurel Street,Hotel-Restaurant,91826
3117623.990160927176476,1457344.859896600246429,233,High Point Bar,146 North College Avenue,Tavern,91859
3124940.229463741183281,1432749.940913707017899,234,"Lodge at MacKenzie Place, The",4751 Pleasant Oak Drive,Lodging & Entertainment,91876
3125111.229447901248932,1433019.180193945765495,235,MacKenzie Place,4750 Pleasant Oak Drive,Hotel-Restaurant,91891
3117107.670320451259613,1438765.4501993060112,236,Cottonwood Liquors,"3645 South College Avenue, #9",Retail Liquor Store,91894
3116331.220767721533775,1438624.540375173091888,237,AMC CLASSIC FORT COLLINS 10,3636 Manhattan Avenue,Beer and Wine,91907
3131415.299181774258614,1434537.7906753718853,238,Suehiro Japanese Restaurant,"4431 Corbett Drive, Suite 104",Hotel-Restaurant,91912
3117036.860096380114555,1457314.949528574943542,239,Ramen Master,144 North Mason Street #8,Hotel-Restaurant,91929
3117849.710513144731522,1439540.420440018177032,240,Square Beverage,"3500 South College Avenue, Unit #116",Retail Liquor Store,92029
